"Check out faster","Commander plus vite"
"Check to activate the external checkout.","Marquer cette option pour activer la vérification externe."
"Checkout","Checkout"
"Checkout as Guest","Checkout en tant qu'invité"
"Checkout as a Guest or Register","Passer à la caisse en tant que client ou créer un compte"
"Checkout as a new customer","Commander en tant que nouveau client"
"Checkout using your account","Commander en utilisant votre compte"
"Choose settlement after order in case you want an invoice to be created with your oder. The state of the invoice will set according to your capture status.","Séléctionnez 'Génération après la commande' si vous voulez qu'une facture soit créée pour la commande. Le statut de la facture sera celui du statut de la comptabilisation."
"Company Commercial Number","Société Nombre de commerce"
"Confirm Password","Confirmer le mot de passe"
"Continue","Continuer"
"Copy the API Access Passcode and the Haskey into the main module. You find this settings under Administration > Account Settings > Order Settings. Make sure that the Hash algorithm is set correctly in the module.","Copiez le code d'accès à l'API et l'Hash Key dans le module principal. Vous trouverez ces paramètres sous Administration > Account Settings > Order Settings. Assurez-vous que l'algorithme du Hash soit correctement défini dans le module."
"Could not convert object of type '!type' to string.","Impossible de convertir objet de type '!type' à string."
"Could not find a brand for the given card number.","Impossible de trouver une marque pour le numéro de carte donnée."
"Could not find pressed button.","Impossible de trouver le bouton pressé."
"Could not find template file at default location '!location'.","Impossible de trouver le fichier template dans le répertoire par défaut '!location'."
"Could not find the payment method !paymentMethodName.","Impossible de trouver le mode de paiement !paymentMethodName."
"Could not load layout from URL !url. Reason: !reason","Impossible de charger le template à partir de l'URL !url. Raison: !reason"
"Create Account","Créer un compte"
"Create New Order - Payment","Créer nouvelle commande - Paiement"
"Create a recurring payment, with an existing alias is not supported","Création d'un paiement récurrent avec un alias existant n'est pas possible."
"Creating an account has many benefits:","La création d'un compte a de nombreux avantages:"
"Creation Date","Date de création"
"Credit Card Brands","Types de cartes de crédit"
"Credit Memo History","Histoire de note de crédit"
"Credit Memo Totals","Totaux note de crédit"
"Credit memo's total must be positive.","Total de note de crédit doit être positive."
"Currency","Monnaie"
"Current Configuration Scope:","Champ d'application actuel de la configuration:"
"Customer Account","Compte client"
"Customer Alias Management","Gestion des Alias du client"
"Customer successfully returned from BeanstreamCw","Le client est retourné de BeanstreamCw avec succès"
"Customer successfully returned from Beanstream","Client retourné avec succès de la page de paiement de BeanstreamCw."
"Customer sucessfully returned from the BeanstreamCw payment page.","Client retourné avec succès de la page de paiement de BeanstreamCw."
"Customers","Clients"
"Customweb","Customweb"
"Date","Date"
"Date of Birth","Date de naissance"
"Day","Jour"
"Deactivate","Désactiver"
"Dear customer we have received your billing and shipping information. In order to finish your order please create an account below or checkout as guest.","Cher client, nous avons reçu votre information de facturation et de livraison. Pour terminer votre commande veuillez créer un compte ci-dessous ou continuez en tant qu'invité."
"Dear customer, it appears to us that your payment was successful, but we are still waiting for confirmation. You can wait on this page and we will redirect you after we received the confirmation. Or you can close this window and we will send out an order confirmation email.","Cher client, il nous semble que votre paiement a été un succès, mais nous sommes toujours en attente de la confirmation. Vous pouvez attendre sur cette page et vous serez redirigé après que nous ayons reçu la confirmation. Vous pouvez aussi fermer cette fenêtre et nous vous enverrons un e-mail de confirmation de la commande."
"Default Config","Configuration par défaut"
"Deferred (authorization)","Différé (autorisation)"
"Deferred capturing","Comptabilisation retardée"
"Deferred settlement","Génération retardée"
"Define a maximal order total for this checkout to be available.","Définir un total de commande maximale pour que ce checkout soit disponible."
"Define a minimal order total for this checkout to be available.","Définir un total de commande minimale pour que ce checkout soit disponible."
"Delayed","Differé"
"Delete","Effacer"
"Delivery address","Delivery address"
"Description","Description"
"Diners Club","Diners Club"
"Direct Debits","Direct Debits"
"Direct E-Banking","Sofort Banking"
"Direct capture after order","Directement après la commande"
"Directly after order (sale)","Directement après la commande"
"Disabled","Désactivé"
"Discount","Rabais"
"Discount Amount","Montant du rabais"
"Discovercard","Discover"
"Do only check the payment information (order)","Seulement contrôler les informations de paiement de la commande"
"Don't change order status","Ne pas modifier le statut de la commande"
"During authorization","Pendant l'autorisation"
"Edit","Modifier"
"Edit Invoice #%s","Modifier Facture #%s"
"Email Address","E-mail"
"Empty version number field name","Nom de champ de numéro de version vide"
"Enable or disable logging.","Activer ou désactiver le logging."
"Enable the payment method","Activer le mode de paiement"
"Enabled","Activé"
"Enter the date on which your card expires.","Veuillez sélectionner la date d’expiration"
"Error during authorization.","Erreur lors de l'autorisation."
"Error with the length of the validation date.","Erreur avec la longueur de la date de validation."
"Excl. Tax","Excl. impôt"
"External Checkout","Vérification externe"
"External Checkout: Guest Checkout","Validation externe : Guest Checkout"
"Failed","Raté"
"Failed payment authorization.","L'autorisation a été refusée."
"Figure !number:","Image !number:"
"Forgot Your Password?","Vous avez oublié votre mot de passe?"
"Forgot your password?","Mot de passe oublié?"
"Get Update","Mettre à jour"
"Hash Key (Live)","Hash Key (Live)"
"Hash Key (Test/Sandbox)","Hash Key (Test/Sandbox)"
"Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to Authorize.net. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id}).","Ici vous pouvez insérer un préfixe de la commande. Le préfixe vous permet de changer le numéro de commande qui est transmis à Beanstream. Le préfixe doit contenir le tag {id}. Il sera ensuite remplacé par le numéro de commande (par exemple name-{id}). Assurez-vous de ne pas utiliser '_'."
"Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to Beanstream. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id}).","Ici vous pouvez insérer un préfixe de la commande. Le préfixe vous permet de changer le numéro de commande qui est transmis à Beanstream. Le préfixe doit contenir le tag {id}. Il sera ensuite remplacé par le numéro de commande (par exemple name-{id}). Assurez-vous de ne pas utiliser '_'."
"Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to Beanstream. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name{id})(only alphanummeric characters).","Ici, vous pouvez insérer un préfixe de la commande. Le préfixe permet de changer le numéro de la commande qui est transmis à Beanstream. Le préfixe doit contenir le tag {id}. Il sera ensuite remplacé par le numéro de la commande (p. ex. nom_{id}) (uniquement des caractères alphanumériques)."
"Hide","Masquer"
"IBAN","IBAN"
"IBAN number","Número du compte bancaire"
"If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, it won't be available until the order is canceled (see timeout option below). Enable this setting to cancel the customer's pending orders when he returns to the cart page and a product is not available anymore.","S'il y a qu'une seule pièce de l'article en stock et le paiement du client échoue ou est annulé, cette article ne sera pas disponible jusqu'à que la commande soit annulée (option 'timeout' en bas). Activez cette option si vous voulez que l'article ne soit pas réservé. La commande sera donc annulée immédiatement."
"If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, it won't be available until the order is canceled (see timeout option below). Enable this setting to cancel the customer's pending orders when he returns to the cart page and a product is not available anymore. Be careful though: If you enable this option, there is a chance that payments are made with the corresponding order being already canceled.","Si un produit est en stock qu'une seule fois et le paiement de la commande du client ce produit échoue ou est abandonnée, il ne sera pas disponible jusqu'à ce que la commande est annulée (voir option de temporisation ci-dessous). Activez ce paramètre pour annuler les commandes en attente du client quand il revient à la page de panier et un produit ne sont plus disponible. Attention: Si vous activez cette option, il ya une chance que les paiements sont faits avec la commande correspondante étant déjà annulé."
"If it is not applicable leave the field empty.","Si ce n'est pas applicable veuillez laisser le champ vide."
"If the status is 'Pending' it is unclear whether the transaction will be cancelled successfully.","Si l'état est 'En attente', il est difficile de savoir si la transaction sera annulée avec succès."
"If the status is 'Pending' it is unclear whether the transaction will be captured successfully.","Si l'état est 'En attente', il est difficile de savoir si la transaction sera capturé avec succès."
"If the status is 'Pending' it is unclear whether the transaction will be refunded successfully.","Si l'état est 'En attente', il est difficile de savoir si l'opération sera remboursé avec succès."
"If the test mode is selected the test account is used. Otherwise the configured account is used.","Si le mode de test est sélectionné, le compte test sera utilisé. Sinon, le compte configuré sera utilisé."
"If the test mode is used, then the test credentials are used. Usually, the test credentials are the same as the live credentials.","Lorsque le mode d'essai est utilisé, les paramètres de test seront utilisés. Généralement, ils sont identiques avec les paramètres live."
"If you have any issues with the module please feel free to contact us. See our <a href='https://www.sellxed.com/en/support' target='_blank'>support page</a> for more information.","Si vous avez des problèmes avec le module, n'hésitez pas à nous contacter. Consultez notre <a href='https://www.sellxed.com/en/support' target='_blank'>page d'assistance</a> pour plus d'informations."
"If you select this checkbox, the payment will be captured at the PSP and you can not add additional captures.","En cliquant sur la case, la commande sera capturée chez le prestataire de services de paiement. Il ne sera pas possible de faire d’autres captures."
"If you would like to use recurring payments, you need our magento module ""Customweb Subscription"". For further information go to <a href=""http://www.sellxed.com/shop/"" target=""_blank"">sellxed.com</a>.","Si vous souhaitez utiliser les paiements récurrents, vous avez besoin de notre module de Magento 'Customweb Subscription'. Pour plus d'informations, veuillez aller sur <a href=""http://www.sellxed.com/shop/"" target=""_blank"">sellxed.com</a>."
"Image Brand Selection","Image Brand Selection"
"In some cases it may take a few seconds until the transaction is successfully authorized. When this option is enabled, the notification is awaited.","Dans certains cas, il peut prendre quelques secondes jusqu'à ce que la transaction soit autorisée avec succès. Lorsque cette option est activée, la boutique attendra la notification quelques secondes."
"In some cases the transaction requires a few seconds until it is successfully authorized. When this option is enabled the user is hold until the transaction reach the final state. If this is not the case in 30 seconds a message is shown to the customer, which explains the situation.","Dans certains cas, l'opération nécessite quelques secondes jusqu'à ce qu'elle est autorisée avec succès. Lorsque cette option est activée l'utilisateur est en attente jusqu'à ce que celle-ci atteigne l'état final. Si ce n'est pas le cas en 30 secondes, un message s'affiche pour le client, qui explique la situation."
"In your Beanstream configuration navigate to administration > account settings > order settings. In ""Payment Gateway -> Security/Authentication"" enter this key in the field ""Hash Key"". Make sure the box ""Include hash validation in Transaction Response Page redirection and Payment Gateway Response Notification"" is checked and ""SHA-1"" is selected.","Dans la configuration de votre Beanstream , naviguez jusqu'à Administration > Account settings > Order settings. Dans 'Payment Gateway -> Security/Authentication' insérez cette clé dans le champ 'Hash Key'. Assurez-vous que la case 'Include hash validation in Transaction Response Page redirection and Payment Gateway Response Notification' soit cochée que et 'SHA-1' soit sélectionnée."
"In your Beanstream configuration navigate to administration > account settings > order settings. In ""Payment Gateway -> Security/Authentication"" enter this key in the field ""Hash Key"". Make sure the box ""Include hash validation in Transaction Response Page redirection and Payment Gateway Response Notification"" is checked and ""SHA-1"" is the selected ""Hash algorithm"".","Dans la configuration de votre Beanstream , naviguez jusqu'à Administration > Account Settings > Order Settings. Dans 'Payment Gateway -> Security/Authentication' insérez cette clé dans le champ 'Hash Key'. Assurez-vous que la case 'Include hash validation in Transaction Response Page redirection and Payment Gateway Response Notification' soit cochée et que 'SHA-1' soit sélectionné."
"Inactive","Inactif"
"Incl. Tax","Incl. TVA"
"Information","Information"
"Initiate Alias: Unkown error","Alias initialisation: Erreur inconnue"
"Invalid login or password.","Nom d'utilisateur inexistant ou mauvais mot de passe."
"Invoice Items","Eléments de la facture"
"Invoice Settlement","Le règlement des factures"
"Invoice Totals","Totaux facture"
"Invoice settlement","Génération de la facture"
"Invoice was created successfully","La facture a été créée avec succès"
"Invoices","Factures"
"Issue Number","Numéro"
"It is not possible to checkout in your country.","Paiements de ce pays ne seront pas acceptés."
"Item","Article"
"Items","Articles"
"Items Refunded","Articles Remboursé"
"JCB","JCB"
"Live HMAC Key","Live HMAC Key"
"Live Identifier (PBX_IDENTIFIANT)","Live identifiant (PBX_IDENTIFIANT)"
"Live Mode","Live Mode"
"Live Password","Mot de passe live"
"Live Rang (PBX_RANG)","Live Rang (PBX_RANG)"
"Live Site ID (PBX_SITE)","Live Site ID (PBX_SITE)"
"Logging","Logging"
"Login","Login"
"Login & Register","Login & Inscription"
"Login and password are required.","Login et mot de passe sont requis."
"Mail order/telephone order authorization","Authentification par e-mail / téléphone"
"Manage Stores","Gérer Magasins"
"Manage Beanstream Aliases","Gérer les Alias Beanstream"
"MasterCard","MasterCard"
"Maximum Order Total","Montant de commande maximal"
"Merchant ID","Merchant ID"
"Merchant Id","Merchant ID"
"Merchant Id (Live)","Merchant Id (Live)"
"Merchant Id (Live) (CAD)","Merchant ID (Live) (CAD)"
"Merchant Id (Live) (USD)","Merchant ID (Live) (USD)"
"Merchant Id (Test/Sandbox)","Merchant Id (Test/Sandbox)"
"Merchant Id (Test/Sandbox) (CAD)","Merchant ID (Test/Sandbox) (CAD)"
"Merchant Id (Test/Sandbox) (USD)","Merchant ID (Test/Sandbox) (USD)"
"Message","Message"
"Method Title","Titre de la méthode"
"Minimum Order Total","Montant de commande minimal"
"Month","Mois"
"My Beanstream Aliases","Mes Alias Beanstream"
"New Order","Nouvelle commande"
"New Order Status","Nouvel statut de commande"
"New card","Nouvelle carte"
"Next Update Execution Date","Prochaine mise à jour"
"No","Non"
"No Items","Pas d'objet"
"No additional payment information available.","Aucune information de paiement supplémentaire est disponible."
"No authorization method found for payment method !method.","Aucun mode d'autorisation trouvé pour le mode de paiement !method."
"No button returned.","Pas de bouton retourné."
"No refund possible.","Remboursement n'est pas possible"
"No shipping method needed.","Aucun mode de livraison nécessaire."
"No, use the dropdown.","Utiliser le menu déroulant"
"Notification URL","URL de notification"
"Only USD and CAD is supported at the moment.","Actuellement, seulement USD et CAD sont acceptés comme monnaie."
"Only USD is supported at the moment.","Seulement USD est accepté pour l'instant."
"Only an authorized transaction can be marked as finally declined.","Seulement une transaction autorisée peut être marquée comme finalement déclinée."
"Only an uncertain transaction can be marked as finally declined.","Seulement une transaction incertaine peut être marquée comme déclinée."
"Only authorized transaction can be cancelled.","Seulement les transactions autorisées peuvent être annulées."
"Only authorized transaction can be captured.","Seulement les transactions autorisées peuvent être comptabilisées."
"Only authorized transaction can be refunded.","Seulement les transactions autorisées peuvent être remboursées"
"Only captured transaction can be refunded.","Seulement les transaction comptabilisées peuvent être remboursées."
"Only on captured transaction the flag customer refusing to pay can be set.","Il est seulement possible de définir un indicateur pour les clients qui n'ont pas payé sur les transactions capturées."
"Operation Mode","Mode de fonctionnement"
"Order #","Numéro de commande"
"Order Grand Total","Total de l'ordre"
"Order Information","Informations sur la commande"
"Order Prefix","Préfixe pour la commande"
"Order Review","Revue de la commande"
"Order Summary","Résumé de la commande"
"Order Total","Total de la commande"
"Order cancelled, because the customer was too long in the payment process of Beanstream.","la commande a été annulée, parce que le client était trop long dans le processus de paiement de Beanstream"
"Order prefix","Order prefix"
"Order was placed using %s","Commande a été passée à l'aide de %s"
"Orders","Commandes"
"Orders with with payments that are longer pending than the specified timeout in minutes are cancelled automatically.","Les commandes où les paiements sont suspendu plus longtemps que le timeout spécifié en minutes seront anullées automatiquement."
"Paid Amount","Montant payé"
"Partial refund not possible. You may retry with the total transaction amount.","Remboursement partiel n'est pas possible. Le montant est supérieur au montant total."
"Password","Mot de passe"
"Password and password confirmation are not equal.","Mot de passe et confirmation du mot de passe ne sont pas pareils."
"Pay with ____paymentMethodName____","Payer avec ____paymentMethodName____"
"Payment","Paiement"
"Payment ID","ID de paiement"
"Payment Id","Payment ID"
"Payment Information","Conditions de vente"
"Payment Method","Mode de paiement"
"Payment captured successfully.","Paiement a réussi à capturer."
"Payment could not be authorized. Cancelling order. Reason :","Le paiement ne peut être autorisée. Commande annulée. Raison:"
"Payment details can be entered after placing the order","Détails de paiement peuvent être insérés après avoir placé la commande"
"Payment from Applicable Countries","Paiement des pays applicables"
"Payment from Specific Countries","Paiement des pays spécifiques"
"Payment from applicable countries","Paiement des pays applicables"
"Payment from specific countries","Paiement des pays spécifiques"
"Payment is pending at BeanstreamCw","Payment en attente chez BeanstreamCw"
"Payment method description","Déscription du mode de paiement"
"Payment with %s","Paiement avec %s"
"Payment with Beanstream","Paiement avec  Beanstream"
"Payments may be updated periodically (interval in minutes). To use this feature you have to setup magento cron","Les paiements peuvent être actualisés automatiquement (interval en minutes) via API (si activé). Pour utiliser ce fonctionnement il faut configurer un cron pour Magento."
"Pending","En attente"
"Pending BeanstreamCw","BeanstreamCw En attente"
"Place Order","Soumettre la commande"
"Please agree to all the terms and conditions before placing the order.","Veuillez accepter les conditions générales avant de passer la commande."
"Please check the entered CVC number.","Veuillez vérifier le numéro CVC entré."
"Please check the entered credit card number.","Veuillez vérifier le numéro de carte de crédit indiqué."
"Please enter here the Bank Identifier Code (BIC).","Veuillez insérer ici le code d'identification de banque (BIC)."
"Please enter here the CVC code from your card. You find the code on the back of the card.","Insérez le code de sécurité de la carte. Vous le trouverez à l’arrière de la carte"
"Please enter here the International Bank Account Number (IBAN).","Veuillez insérer l'IBAN de votre compte banquaire."
"Please enter here the account holder name on the card.","Veuillez insérer ici le nom du titulaire de la carte."
"Please enter here the account holder name.","Veuillez insérer ici le nom du titulaire du compte."
"Please enter here the account number of your bank account.","Veuillez insérer l'IBAN de votre compte banquaire."
"Please enter here the bank code of your bank.","Veuillez insérer le code de votre banque."
"Please enter here the card holder name on the card.","Veuillez insérer le nom du titulaire de la carte"
"Please enter here the commercial number of your company.","Il faut insérer le numéro de commerce de votre entreprise."
"Please enter here the name of the account owner.","Vous devez insérer le titulaire de compte"
"Please enter here the number on your card.","Veuillez insérer le numéro de carte bancaire."
"Please enter here the sales tax number of your company.","Veuillez insérer ici le numéro de taxe de vente de votre entreprise."
"Please enter here your social security number.","Veuillez insérer votre numéro de sécurité sociale."
"Please enter the location of your bank.","Vous devez insérer le lieu de votre banque."
"Please enter the name of your bank.","Veuillez insérer ici le nom de votre banque."
"Please enter your IBAN number.","Veuillez insérer votre numéro IBAN."
"Please enter your issue number, if there is no CVC code on your card.","Veuillez insérer votre numéro, s'il n'y a pas de code CVC de votre carte."
"Please flash or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.","Veuillez vider ou désactiver votre cache et essayer à nouveau. Si cela n'aide pas à résoudre le problème, veuillez changer la méthode d'autorisation à Payment Page et <a href=""%s"" target=""_blank"">contactez le support sellxed</a>."
"Please flash or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.', 'http://www.sellxed.com/en/support","Veuillez vider votre cache et essayer à nouveau. Si cela n'aide pas à résoudre le problème, changez la méthode d'autorisation à Payment Page et <a href=""%s"" target=""_blank"">contactez le support sellXed.</a>.', 'http://www.sellxed.com/en/support"
"Please flush or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.","Veuillez vider ou désactiver le cache et veuillez essayer à nouveau. Si cela n'aide pas à résoudre le problème, changez la méthode d'autorisation sur PaymentPage et contactez <a href=""%s"" target=""_blank"">sellxed</a>."
"Please log in below:","Merci de vous identifier:"
"Please select","Sélectionner s'il vous plaît"
"Please select a shipping method before sending the order.","Sélectionnez un mode de livraison avant d'envoyer la commande."
"Please select the Bank Identifier Code (BIC) of your bank.","Veuillez sélectionner le code d'identification de votre banque. (BIC)"
"Please select the day of your birth.","Veuillez sélectionner le jour de votre naissance."
"Please select the expiry month on your card.","Sélectionnez le mois de l'expiration de votre carte"
"Please select the expiry year on your card.","Veuillez insérer la date d'expiration de la carte."
"Please select the month of your birth.","Veuillez sélectionner le mois de votre date de naissance."
"Please select the the year of your birth.","Veuillez  sélectionner l'année de votre date de naissance."
"Price","Prix"
"Product","Produit"
"Product Name","Nom du produit"
"Purchase Point","Lieu d'achat"
"Qty","Quantité"
"Recurring Payments","Paiements récurrents"
"Refund Amount","Montant du remboursement"
"Refund ID","ID de remboursement"
"Refund amount","Montant du remboursement"
"Refund information","Information de remboursement"
"Refund status","Statut de remboursement"
"Refunded Amount","Montant du remboursement"
"Refunds","Remboursements"
"Register","Inscrivez-vous"
"Register to Create an Account","S'inscrire pour créer un compte"
"Register with us for future convenience:","Inscrivez-vous chez nous pour plus de commodité dans l'avenir:"
"Release Date","Date de sortie"
"Retrieving CardData: Unkown error","Récupération des données de la carte: Erreur inconnue"
"Review","Review"
"Rounding Adjustment","Ajustements d'arrondi"
"Row Total","Total de la ligne"
"SEPA Mandate ID","SEPA Mandate ID"
"SKU:","SKU:"
"Sales","Ventes"
"Sales Tax Number","Numéro de taxe de vente"
"Save","Sauvegarder"
"Saved cards:","Cartes enregistrées:"
"See order and shipping status","Voir le statut de la commande et le statut de livraison"
"Select Brand","Sélectionnez le type de la carte"
"Select Method","Sélectionner la méthode"
"Select the authorization method to use for processing this payment method.","Sélectionnez un mode d'autorisation pour le traitement de ce mode de paiement."
"Select the date of your birth.","Veuillez sélectionner votre date de naissance."
"Select the date on which your card expires.","Séléctionnez la date d'expiration de la carte."
"Send Invoice Email","Envoyer un e-mail avec la facture"
"Send amounts to Beanstream in base currency.","Envoyer des montants à  Beanstream dans la devise de base."
"Send amounts to Beanstream in store's base currency.","Envoyer les montants à Beanstream dans la devise de base de la boutique."
"Send invoice email","Envoyer la facture"
"Send the invoice email automatically after invoice creation.","Envoyer l'email de facture automatiquement après la création de la facture."
"Set direct capture after order. In this case your authoization will directly be captured on your customer's credit card","Si vous séléctionnez 'Comptabilisation dirècte' le montant sera tout de suite débité de la carte du client. Si vous séléctionnez 'Comptabilisation retardée' le montant sera débité avec un certain temps défini par vous."
"Set the API access passcode into the main module. You will find the API access passcode under Configuration > Payment Profile Configuration.","Veuillez définir le mot de passe d'accès à l'API dans le module principal. Vous trouverez le code d'accès de l'API sous Configuration > Payment Profile Configuration."
"Set the notification URL as outlined below.","Précisez l'URL de notification tel que décrit ci-dessous."
"Set the sort order to show the external checkouts.","Définir l'ordre de montrer les checkouts externes."
"Settlement after order","Génération après la commande"
"Setup","Setup"
"Shipping & Handling","Livraison"
"Shipping Address","Adresse de livraison"
"Shipping Amount","Montant des frais de livraison"
"Shipping Information","Informations sur la livraison"
"Shipping Method","Mode de livraison"
"Shipping Methods","Modes de livraison"
"Shipping Refund","Remboursement des frais de livraison"
"Shop","Shop"
"Short Installation Instructions:","Instructions d'installation:"
"Show","Voir"
"Show Account Selection","Voir la sélection de compte"
"Show Further Settings and Information","Afficher plus de paramètres et d'informations"
"Show Image","Afficher Image"
"Show Payment Id","Afficher Payment ID"
"Show the payment id","Présenter l'ID de paiement"
"Show the payment id in the order information","Afficher l'ID de paiement dans le bon de commande"
